correct,response,input_value,range_category,trial,stimulus_id
3.47,8.0,3.47,short,0,0
7.26,25.0,7.26,short,1,1
5.89,20.0,5.89,short,2,2
4.95,10.0,4.95,short,3,3
1.98,6.0,1.98,short,4,4
1.89,8.0,1.89,short,5,5
1.27,4.0,1.27,short,6,6
7.01,15.0,7.01,short,7,7
4.83,12.0,4.83,short,8,8
5.52,18.0,5.52,short,9,9
3.47,8.0,3.47,short,10,0
7.26,25.0,7.26,short,11,1
5.89,20.0,5.89,short,12,2
4.95,12.0,4.95,short,13,3
1.98,7.0,1.98,short,14,4
1.89,10.0,1.89,short,15,5
1.27,5.0,1.27,short,16,6
7.01,18.0,7.01,short,17,7
4.83,15.0,4.83,short,18,8
5.52,22.0,5.52,short,19,9
3.47,7.0,3.47,short,20,0
7.26,25.0,7.26,short,21,1
5.89,20.0,5.89,short,22,2
4.95,10.0,4.95,short,23,3
1.98,5.0,1.98,short,24,4
1.89,8.0,1.89,short,25,5
1.27,3.0,1.27,short,26,6
7.01,15.0,7.01,short,27,7
4.83,12.0,4.83,short,28,8
5.52,18.0,5.52,short,29,9
3.47,8.0,3.47,short,30,0
7.26,25.0,7.26,short,31,1
5.89,20.0,5.89,short,32,2
4.95,12.0,4.95,short,33,3
1.98,8.0,1.98,short,34,4
1.89,10.0,1.89,short,35,5
1.27,5.0,1.27,short,36,6
7.01,18.0,7.01,short,37,7
4.83,15.0,4.83,short,38,8
5.52,22.0,5.52,short,39,9
3.47,7.0,3.47,short,40,0
7.26,23.0,7.26,short,41,1
5.89,21.0,5.89,short,42,2
4.95,12.0,4.95,short,43,3
1.98,7.0,1.98,short,44,4
1.89,10.0,1.89,short,45,5
1.27,5.0,1.27,short,46,6
7.01,18.0,7.01,short,47,7
4.83,15.0,4.83,short,48,8
5.52,22.0,5.52,short,49,9
9.57,60.0,9.57,medium,0,0
18.43,95.0,18.43,medium,1,1
15.74,110.0,15.74,medium,2,2
13.13,75.0,13.13,medium,3,3
6.72,30.0,6.72,medium,4,4
7.0,35.0,7.0,medium,5,5
5.81,40.0,5.81,medium,6,6
17.63,65.0,17.63,medium,7,7
12.67,80.0,12.67,medium,8,8
15.37,90.0,15.37,medium,9,9
9.57,60.0,9.57,medium,10,0
18.43,95.0,18.43,medium,11,1
15.74,110.0,15.74,medium,12,2
13.13,75.0,13.13,medium,13,3
6.72,30.0,6.72,medium,14,4
7.0,40.0,7.0,medium,15,5
5.81,35.0,5.81,medium,16,6
17.63,65.0,17.63,medium,17,7
12.67,80.0,12.67,medium,18,8
15.37,90.0,15.37,medium,19,9
9.57,61.0,9.57,medium,20,0
18.43,88.0,18.43,medium,21,1
15.74,78.0,15.74,medium,22,2
13.13,65.0,13.13,medium,23,3
6.72,25.0,6.72,medium,24,4
7.0,32.0,7.0,medium,25,5
5.81,38.0,5.81,medium,26,6
17.63,63.0,17.63,medium,27,7
12.67,75.0,12.67,medium,28,8
15.37,82.0,15.37,medium,29,9
9.57,63.0,9.57,medium,30,0
18.43,88.0,18.43,medium,31,1
15.74,75.0,15.74,medium,32,2
13.13,60.0,13.13,medium,33,3
6.72,25.0,6.72,medium,34,4
7.0,35.0,7.0,medium,35,5
5.81,30.0,5.81,medium,36,6
17.63,65.0,17.63,medium,37,7
12.67,70.0,12.67,medium,38,8
15.37,85.0,15.37,medium,39,9
9.57,60.0,9.57,medium,40,0
18.43,95.0,18.43,medium,41,1
15.74,110.0,15.74,medium,42,2
13.13,75.0,13.13,medium,43,3
6.72,25.0,6.72,medium,44,4
7.0,30.0,7.0,medium,45,5
5.81,35.0,5.81,medium,46,6
17.63,65.0,17.63,medium,47,7
12.67,80.0,12.67,medium,48,8
15.37,90.0,15.37,medium,49,9
26.62,65.0,26.62,long,0,0
48.03,95.0,48.03,long,1,1
40.53,110.0,40.53,long,2,2
35.76,90.0,35.76,long,3,3
20.13,75.0,20.13,long,4,4
20.28,60.0,20.28,long,5,5
16.69,55.0,16.69,long,6,6
44.63,135.0,44.63,long,7,7
35.43,90.0,35.43,long,8,8
39.64,110.0,39.64,long,9,9
26.62,68.0,26.62,long,10,0
48.03,95.0,48.03,long,11,1
40.53,115.0,40.53,long,12,2
35.76,98.0,35.76,long,13,3
20.13,75.0,20.13,long,14,4
20.28,60.0,20.28,long,15,5
16.69,55.0,16.69,long,16,6
44.63,135.0,44.63,long,17,7
35.43,88.0,35.43,long,18,8
39.64,92.0,39.64,long,19,9
26.62,69.0,26.62,long,20,0
48.03,98.0,48.03,long,21,1
40.53,115.0,40.53,long,22,2
35.76,88.0,35.76,long,23,3
20.13,65.0,20.13,long,24,4
20.28,55.0,20.28,long,25,5
16.69,48.0,16.69,long,26,6
44.63,135.0,44.63,long,27,7
35.43,82.0,35.43,long,28,8
39.64,75.0,39.64,long,29,9
26.62,65.0,26.62,long,30,0
48.03,95.0,48.03,long,31,1
40.53,105.0,40.53,long,32,2
35.76,90.0,35.76,long,33,3
20.13,75.0,20.13,long,34,4
20.28,60.0,20.28,long,35,5
16.69,55.0,16.69,long,36,6
44.63,135.0,44.63,long,37,7
35.43,90.0,35.43,long,38,8
39.64,85.0,39.64,long,39,9
26.62,68.0,26.62,long,40,0
48.03,95.0,48.03,long,41,1
40.53,105.0,40.53,long,42,2
35.76,88.0,35.76,long,43,3
20.13,65.0,20.13,long,44,4
20.28,55.0,20.28,long,45,5
16.69,45.0,16.69,long,46,6
44.63,115.0,44.63,long,47,7
35.43,80.0,35.43,long,48,8
39.64,75.0,39.64,long,49,9
