correct,response,range_category,trial
0.25,0.22,short,0
0.48,0.5,short,1
0.39,0.5,short,2
0.34,0.2,short,3
0.16,0.15,short,4
0.16,0.15,short,5
0.12,0.1,short,6
0.45,0.7,short,7
0.34,0.75,short,8
0.38,0.8,short,9
0.25,0.23,short,10
0.48,0.62,short,11
0.39,0.5,short,12
0.34,0.25,short,13
0.16,0.15,short,14
0.16,0.16,short,15
0.12,0.12,short,16
0.45,0.75,short,17
0.34,0.65,short,18
0.38,0.7,short,19
0.25,0.2,short,20
0.48,0.5,short,21
0.39,0.3,short,22
0.34,0.25,short,23
0.16,0.15,short,24
0.16,0.15,short,25
0.12,0.1,short,26
0.45,0.7,short,27
0.34,0.8,short,28
0.38,0.6,short,29
0.25,0.28,short,30
0.48,0.5,short,31
0.39,0.5,short,32
0.34,0.2,short,33
0.16,0.15,short,34
0.16,0.15,short,35
0.12,0.1,short,36
0.45,0.7,short,37
0.34,0.7,short,38
0.38,0.75,short,39
0.25,0.22,short,40
0.48,0.5,short,41
0.39,0.6,short,42
0.34,0.3,short,43
0.16,0.2,short,44
0.16,0.15,short,45
0.12,0.1,short,46
0.45,0.75,short,47
0.34,0.7,short,48
0.38,0.8,short,49
0.49,0.5,medium,0
0.78,0.8,medium,1
0.67,0.7,medium,2
0.6,0.75,medium,3
0.38,0.3,medium,4
0.38,0.4,medium,5
0.33,0.25,medium,6
0.73,0.65,medium,7
0.6,0.6,medium,8
0.65,0.7,medium,9
0.49,0.5,medium,10
0.78,0.8,medium,11
0.67,0.75,medium,12
0.6,0.7,medium,13
0.38,0.3,medium,14
0.38,0.4,medium,15
0.33,0.25,medium,16
0.73,0.65,medium,17
0.6,0.6,medium,18
0.65,0.2,medium,19
0.49,0.5,medium,20
0.78,0.85,medium,21
0.67,0.75,medium,22
0.6,0.8,medium,23
0.38,0.4,medium,24
0.38,0.3,medium,25
0.33,0.7,medium,26
0.73,0.9,medium,27
0.6,0.65,medium,28
0.65,0.6,medium,29
0.49,0.5,medium,30
0.78,0.85,medium,31
0.67,0.75,medium,32
0.6,0.65,medium,33
0.38,0.4,medium,34
0.38,0.35,medium,35
0.33,0.25,medium,36
0.73,0.8,medium,37
0.6,0.7,medium,38
0.65,0.6,medium,39
0.49,0.5,medium,40
0.78,0.8,medium,41
0.67,0.7,medium,42
0.6,0.75,medium,43
0.38,0.4,medium,44
0.38,0.3,medium,45
0.33,0.6,medium,46
0.73,0.85,medium,47
0.6,0.65,medium,48
0.65,0.7,medium,49
0.65,0.53,long,0
0.88,0.92,long,1
0.79,0.85,long,2
0.74,0.85,long,3
0.56,0.75,long,4
0.56,0.67,long,5
0.52,0.85,long,6
0.85,0.92,long,7
0.74,0.85,long,8
0.78,0.9,long,9
0.65,0.55,long,10
0.88,0.9,long,11
0.79,0.85,long,12
0.74,0.75,long,13
0.56,0.65,long,14
0.56,0.7,long,15
0.52,0.85,long,16
0.85,0.9,long,17
0.74,0.8,long,18
0.78,0.85,long,19
0.65,0.55,long,20
0.88,0.9,long,21
0.79,0.85,long,22
0.74,0.75,long,23
0.56,0.8,long,24
0.56,0.7,long,25
0.52,0.8,long,26
0.85,0.9,long,27
0.74,0.85,long,28
0.78,0.85,long,29
0.65,0.55,long,30
0.88,0.92,long,31
0.79,0.85,long,32
0.74,0.8,long,33
0.56,0.75,long,34
0.56,0.7,long,35
0.52,0.82,long,36
0.85,0.9,long,37
0.74,0.88,long,38
0.78,0.85,long,39
0.65,0.55,long,40
0.88,0.93,long,41
0.79,0.89,long,42
0.74,0.85,long,43
0.56,0.75,long,44
0.56,0.7,long,45
0.52,0.8,long,46
0.85,0.9,long,47
0.74,0.85,long,48
0.78,0.9,long,49
