correct,response,input_value,range_category,trial,stimulus_id
3.8243,,3.8243,short,0,0
3.4004,4.3,3.4004,short,1,1
4.3732,4.1,4.3732,short,2,2
1.25,1.3,1.25,short,3,3
1.6771,2.0,1.6771,short,4,4
1.5,1.5,1.5,short,5,5
3.4004,3.6,3.4004,short,6,6
4.0078,4.1,4.0078,short,7,7
4.8023,4.3,4.8023,short,8,8
2.4622,2.5,2.4622,short,9,9
3.8243,,3.8243,short,10,0
3.4004,4.47,3.4004,short,11,1
4.3732,4.47,4.3732,short,12,2
1.25,1.12,1.25,short,13,3
1.6771,2.06,1.6771,short,14,4
1.5,1.5,1.5,short,15,5
3.4004,3.54,3.4004,short,16,6
4.0078,4.03,4.0078,short,17,7
4.8023,4.27,4.8023,short,18,8
2.4622,2.55,2.4622,short,19,9
3.8243,,3.8243,short,20,0
3.4004,4.27,3.4004,short,21,1
4.3732,5.0,4.3732,short,22,2
1.25,1.58,1.25,short,23,3
1.6771,2.06,1.6771,short,24,4
1.5,1.58,1.5,short,25,5
3.4004,3.54,3.4004,short,26,6
4.0078,4.03,4.0078,short,27,7
4.8023,4.27,4.8023,short,28,8
2.4622,2.55,2.4622,short,29,9
3.8243,,3.8243,short,30,0
3.4004,3.61,3.4004,short,31,1
4.3732,5.0,4.3732,short,32,2
1.25,1.58,1.25,short,33,3
1.6771,2.06,1.6771,short,34,4
1.5,1.58,1.5,short,35,5
3.4004,3.04,3.4004,short,36,6
4.0078,4.12,4.0078,short,37,7
4.8023,4.27,4.8023,short,38,8
2.4622,2.55,2.4622,short,39,9
3.8243,,3.8243,short,40,0
3.4004,4.27,3.4004,short,41,1
4.3732,5.22,4.3732,short,42,2
1.25,1.12,1.25,short,43,3
1.6771,2.06,1.6771,short,44,4
1.5,1.5,1.5,short,45,5
3.4004,3.54,3.4004,short,46,6
4.0078,4.03,4.0078,short,47,7
4.8023,4.27,4.8023,short,48,8
2.4622,3.04,2.4622,short,49,9
5.8149,,5.8149,medium,0,0
5.3502,5.59,5.3502,medium,1,1
6.5192,6.32,6.5192,medium,2,2
3.1623,3.61,3.1623,medium,3,3
3.5089,3.04,3.5089,medium,4,4
3.5532,4.72,3.5532,medium,5,5
5.3502,5.0,5.3502,medium,6,6
5.8363,6.32,5.8363,medium,7,7
6.8648,5.0,6.8648,medium,8,8
4.423,4.24,4.423,medium,9,9
5.8149,,5.8149,medium,10,0
5.3502,5.59,5.3502,medium,11,1
6.5192,6.8,6.5192,medium,12,2
3.1623,3.61,3.1623,medium,13,3
3.5089,3.2,3.5089,medium,14,4
3.5532,4.03,3.5532,medium,15,5
5.3502,5.0,5.3502,medium,16,6
5.8363,6.4,5.8363,medium,17,7
6.8648,5.0,6.8648,medium,18,8
4.423,4.03,4.423,medium,19,9
5.8149,,5.8149,medium,20,0
5.3502,5.59,5.3502,medium,21,1
6.5192,6.32,6.5192,medium,22,2
3.1623,4.03,3.1623,medium,23,3
3.5089,3.61,3.5089,medium,24,4
3.5532,4.27,3.5532,medium,25,5
5.3502,5.0,5.3502,medium,26,6
5.8363,6.32,5.8363,medium,27,7
6.8648,5.0,6.8648,medium,28,8
4.423,4.03,4.423,medium,29,9
5.8149,,5.8149,medium,30,0
5.3502,5.59,5.3502,medium,31,1
6.5192,6.4,6.5192,medium,32,2
3.1623,3.61,3.1623,medium,33,3
3.5089,3.61,3.5089,medium,34,4
3.5532,4.72,3.5532,medium,35,5
5.3502,5.0,5.3502,medium,36,6
5.8363,6.4,5.8363,medium,37,7
6.8648,5.83,6.8648,medium,38,8
4.423,4.53,4.423,medium,39,9
5.8149,,5.8149,medium,40,0
5.3502,5.0,5.3502,medium,41,1
6.5192,7.28,6.5192,medium,42,2
3.1623,3.61,3.1623,medium,43,3
3.5089,3.16,3.5089,medium,44,4
3.5532,4.47,3.5532,medium,45,5
5.3502,5.0,5.3502,medium,46,6
5.8363,7.07,5.8363,medium,47,7
6.8648,5.0,6.8648,medium,48,8
4.423,4.12,4.423,medium,49,9
7.8302,,7.8302,long,0,0
7.433,6.4,7.433,long,1,1
8.5147,8.6,8.5147,long,2,2
5.2202,5.59,5.2202,long,3,3
5.7009,2.12,5.7009,long,4,4
5.5509,6.0,5.5509,long,5,5
7.2887,6.4,7.2887,long,6,6
7.9451,7.28,7.9451,long,7,7
8.6783,6.4,8.6783,long,8,8
6.408,5.59,6.408,long,9,9
7.8302,,7.8302,long,10,0
7.433,6.4031,7.433,long,11,1
8.5147,7.28,8.5147,long,12,2
5.2202,5.59,5.2202,long,13,3
5.7009,5.22,5.7009,long,14,4
5.5509,5.83,5.5509,long,15,5
7.2887,7.28,7.2887,long,16,6
7.9451,7.28,7.9451,long,17,7
8.6783,6.8,8.6783,long,18,8
6.408,6.8,6.408,long,19,9
7.8302,,7.8302,long,20,0
7.433,6.4,7.433,long,21,1
8.5147,7.3,8.5147,long,22,2
5.2202,5.1,5.2202,long,23,3
5.7009,5.4,5.7009,long,24,4
5.5509,6.0,5.5509,long,25,5
7.2887,7.1,7.2887,long,26,6
7.9451,7.3,7.9451,long,27,7
8.6783,6.7,8.6783,long,28,8
6.408,5.1,6.408,long,29,9
7.8302,,7.8302,long,30,0
7.433,7.28,7.433,long,31,1
8.5147,7.28,8.5147,long,32,2
5.2202,5.39,5.2202,long,33,3
5.7009,5.1,5.7009,long,34,4
5.5509,6.08,5.5509,long,35,5
7.2887,7.28,7.2887,long,36,6
7.9451,7.28,7.9451,long,37,7
8.6783,7.28,8.6783,long,38,8
6.408,6.4,6.408,long,39,9
7.8302,,7.8302,long,40,0
7.433,6.4,7.433,long,41,1
8.5147,8.6,8.5147,long,42,2
5.2202,5.59,5.2202,long,43,3
5.7009,2.12,5.7009,long,44,4
5.5509,6.0,5.5509,long,45,5
7.2887,6.8,7.2887,long,46,6
7.9451,7.28,7.9451,long,47,7
8.6783,6.5,8.6783,long,48,8
6.408,6.26,6.408,long,49,9
