correct,response,range_category,trial,stimulus_id
2.5,,short,0,0
4.8023,10.39,short,1,1
3.9051,6.64,short,2,2
3.4004,5.4,short,3,3
1.6008,2.46,short,4,4
1.25,1.25,short,5,5
4.4721,7.07,short,6,6
1.118,1.12,short,7,7
4.8541,7.04,short,8,8
4.3661,7.19,short,9,9
2.5,3.5,short,10,0
4.8023,5.0,short,11,1
3.9051,4.61,short,12,2
3.4004,3.6,short,13,3
1.6008,1.6,short,14,4
1.25,1.25,short,15,5
4.4721,4.47,short,16,6
1.118,1.12,short,17,7
4.8541,5.0,short,18,8
4.3661,4.36,short,19,9
2.5,,short,20,0
4.8023,5.75,short,21,1
3.9051,4.75,short,22,2
3.4004,4.75,short,23,3
1.6008,2.25,short,24,4
1.25,1.25,short,25,5
4.4721,7.07,short,26,6
1.118,1.12,short,27,7
4.8541,7.02,short,28,8
4.3661,7.14,short,29,9
2.5,,short,30,0
4.8023,12.25,short,31,1
3.9051,6.75,short,32,2
3.4004,5.75,short,33,3
1.6008,2.25,short,34,4
1.25,1.25,short,35,5
4.4721,7.0,short,36,6
1.118,1.0,short,37,7
4.8541,7.0,short,38,8
4.3661,7.25,short,39,9
2.5,,short,40,0
4.8023,7.87,short,41,1
3.9051,5.89,short,42,2
3.4004,5.32,short,43,3
1.6008,2.35,short,44,4
1.25,1.25,short,45,5
4.4721,7.07,short,46,6
1.118,1.12,short,47,7
4.8541,7.07,short,48,8
4.3661,7.12,short,49,9
4.4721,8.19,medium,0,0
6.8237,9.19,medium,1,1
5.9634,7.17,medium,2,2
5.3852,5.83,medium,3,3
3.6056,5.0,medium,4,4
3.25,4.3,medium,5,5
6.5,9.54,medium,6,6
5.831,6.08,medium,7,7
3.0923,4.57,medium,8,8
6.8966,8.84,medium,9,9
4.4721,,medium,10,0
6.8237,,medium,11,1
5.9634,,medium,12,2
5.3852,,medium,13,3
3.6056,,medium,14,4
3.25,,medium,15,5
6.5,,medium,16,6
5.831,,medium,17,7
3.0923,,medium,18,8
6.8966,,medium,19,9
4.4721,10.1,medium,20,0
6.8237,10.2,medium,21,1
5.9634,9.0,medium,22,2
5.3852,8.2,medium,23,3
3.6056,5.0,medium,24,4
3.25,5.0,medium,25,5
6.5,9.5,medium,26,6
5.831,8.1,medium,27,7
3.0923,5.2,medium,28,8
6.8966,8.8,medium,29,9
4.4721,11.0,medium,30,0
6.8237,11.19,medium,31,1
5.9634,10.93,medium,32,2
5.3852,9.43,medium,33,3
3.6056,5.0,medium,34,4
3.25,5.06,medium,35,5
6.5,11.25,medium,36,6
5.831,10.0,medium,37,7
3.0923,5.19,medium,38,8
6.8966,13.08,medium,39,9
4.4721,,medium,40,0
6.8237,,medium,41,1
5.9634,,medium,42,2
5.3852,,medium,43,3
3.6056,,medium,44,4
3.25,,medium,45,5
6.5,,medium,46,6
5.831,,medium,47,7
3.0923,,medium,48,8
6.8966,,medium,49,9
6.5,,long,0,0
8.8459,,long,1,1
7.9412,,long,2,2
7.433,,long,3,3
5.6569,,long,4,4
5.2202,,long,5,5
8.4595,,long,6,6
7.8262,,long,7,7
5.099,,long,8,8
8.9022,,long,9,9
6.5,,long,10,0
8.8459,14.41164062891162,long,11,1
7.9412,12.416219974610167,long,12,2
7.433,12.8173152945405,long,13,3
5.6569,7.615773105863909,long,14,4
5.2202,10.299732500363477,long,15,5
8.4595,13.242624760501732,long,16,6
7.8262,13.393542874812626,long,17,7
5.099,8.888194412729554,long,18,8
8.9022,13.821553982606012,long,19,9
6.5,11.3137085,long,20,0
8.8459,12.5399383,long,21,1
7.9412,13.2884396,long,22,2
7.433,10.5356039,long,23,3
5.6569,6.08276253,long,24,4
5.2202,9.30058898,long,25,5
8.4595,13.08471102,long,26,6
7.8262,13.2884396,long,27,7
5.099,9.48683298,long,28,8
8.9022,13.0384048,long,29,9
6.5,,long,30,0
8.8459,12.5,long,31,1
7.9412,13.0,long,32,2
7.433,10.5,long,33,3
5.6569,7.0,long,34,4
5.2202,9.0,long,35,5
8.4595,13.0,long,36,6
7.8262,13.0,long,37,7
5.099,9.0,long,38,8
8.9022,13.0,long,39,9
6.5,,long,40,0
8.8459,15.0,long,41,1
7.9412,15.2,long,42,2
7.433,11.2,long,43,3
5.6569,7.2,long,44,4
5.2202,12.2,long,45,5
8.4595,13.5,long,46,6
7.8262,15.2,long,47,7
5.099,9.5,long,48,8
8.9022,13.0,long,49,9
