correct,response,range_category,trial,stimulus_id
2.5,2.5,short,0,0
4.8023,5.0,short,1,1
3.9051,3.0,short,2,2
3.4004,3.75,short,3,3
1.6008,1.25,short,4,4
1.25,1.25,short,5,5
4.4721,5.0,short,6,6
1.118,1.12,short,7,7
4.8541,4.25,short,8,8
4.3661,5.0,short,9,9
4.4721,5.0,medium,0,0
6.8237,7.25,medium,1,1
5.9634,6.25,medium,2,2
5.3852,6.0,medium,3,3
3.6056,3.0,medium,4,4
3.25,3.25,medium,5,5
6.5,7.5,medium,6,6
5.831,6.0,medium,7,7
3.0923,3.25,medium,8,8
6.8966,7.0,medium,9,9
6.5,8.5,long,0,0
8.8459,8.0,long,1,1
7.9412,7.5,long,2,2
7.433,7.0,long,3,3
5.6569,5.0,long,4,4
5.2202,6.0,long,5,5
8.4595,7.0,long,6,6
7.8262,7.5,long,7,7
5.099,5.0,long,8,8
8.9022,7.0,long,9,9
