model,sample_id,text,ground_truth,input_values,prediction,prompt_sent,response
google/gemma-3-4b-it,sample_001,0.2498,0.2498,0.2498,0.25,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}]","0.25
"
google/gemma-3-4b-it,sample_002,0.4803,0.4803,0.4803,0.75,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}]",0.75
google/gemma-3-4b-it,sample_003,0.3928,0.3928,0.3928,0.6666666666666666,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}]",0.6666666666666666
google/gemma-3-4b-it,sample_004,0.3395,0.3395,0.3395,0.75,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}]",0.75
google/gemma-3-4b-it,sample_005,0.1624,0.1624,0.1624,0.5,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}]",0.5
google/gemma-3-4b-it,sample_006,0.1624,0.1624,0.1624,0.6666666666666667,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.5""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|---.-.                                  |\n|------------------=-------------.-------| \n\nFinal Answer:\n""}]",0.6666666666666667
google/gemma-3-4b-it,sample_007,0.1232,0.1232,0.1232,0.6666666666666667,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.5""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|---.-.                                  |\n|------------------=-------------.-------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|.-~-                                    |\n|-----=---------.------------------------| \n\nFinal Answer:\n""}]",0.6666666666666667
google/gemma-3-4b-it,sample_008,0.4465,0.4465,0.4465,0.6666666666666667,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.5""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|---.-.                                  |\n|------------------=-------------.-------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|.-~-                                    |\n|-----=---------.------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|- -------.-------                       |\n|-----=---------------------------------.| \n\nFinal Answer:\n""}]",0.6666666666666667
google/gemma-3-4b-it,sample_009,0.3404,0.3404,0.3404,0.6666666666666667,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.5""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|---.-.                                  |\n|------------------=-------------.-------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|.-~-                                    |\n|-----=---------.------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|- -------.-------                       |\n|-----=---------------------------------.| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|--- =--------                           |\n|------.---------------------~-----------| \n\nFinal Answer:\n""}]",0.6666666666666667
google/gemma-3-4b-it,sample_010,0.3832,0.3832,0.3832,0.75,"[{""role"": ""system"", ""content"": ""You are a lines length ratio estimator.\n        You are given a text-based representation of two lines.\n\n        Estimate the ratio of the shorter line to the longer line as a decimal number between 0 and 1.\n\n        Do not explain or reason. Only output the final answer as a number after Final Answer:\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-=-=-----                               |\n|-------------------------.------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.25\n""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------------.-~----                     |\n|-------------.~-------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----~---=-----                         |\n|---------------------------=------~-----| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666666""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|----------~-                            |\n|--------- -------------=----------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.75""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|-----                                   |\n|------------------------- ------ -------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.5""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|---.-.                                  |\n|------------------=-------------.-------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|.-~-                                    |\n|-----=---------.------------------------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|- -------.-------                       |\n|-----=---------------------------------.| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|--- =--------                           |\n|------.---------------------~-----------| \n\nFinal Answer:\n""}, {""role"": ""assistant"", ""content"": ""0.6666666666666667""}, {""role"": ""user"", ""content"": ""\nHere is the text-based representation of two lines.\n\n|------ ------.-                         |\n|------------------~---------- ----------| \n\nFinal Answer:\n""}]",0.75
