correct,response,range_category,trial
2.5,2.5,short,0
4.8023,5.0,short,1
3.9051,3.5,short,2
3.4004,3.5,short,3
1.6008,1.5,short,4
1.6008,1.5,short,5
1.25,1.25,short,6
4.4721,5.0,short,7
3.4004,3.5,short,8
3.9051,3.5,short,9
2.5,2.5,short,10
4.8023,5.0,short,11
3.9051,3.0,short,12
3.4004,4.0,short,13
1.6008,1.4,short,14
1.6008,1.4,short,15
1.25,1.25,short,16
4.4721,5.0,short,17
3.4004,4.0,short,18
3.9051,3.0,short,19
2.5,2.5,short,20
4.8023,5.0,short,21
3.9051,3.5,short,22
3.4004,3.5,short,23
1.6008,1.5,short,24
1.6008,1.5,short,25
1.25,1.25,short,26
4.4721,5.0,short,27
3.4004,3.5,short,28
3.9051,3.5,short,29
2.5,2.5,short,30
4.8023,5.0,short,31
3.9051,3.5,short,32
3.4004,3.5,short,33
1.6008,1.4,short,34
1.6008,1.4,short,35
1.25,1.25,short,36
4.4721,5.0,short,37
3.4004,3.5,short,38
3.9051,3.5,short,39
2.5,2.5,short,40
4.8023,5.0,short,41
3.9051,3.5,short,42
3.4004,3.75,short,43
1.6008,1.25,short,44
1.6008,1.25,short,45
1.25,1.25,short,46
4.4721,5.0,short,47
3.4004,3.75,short,48
3.9051,3.5,short,49
4.4721,5.0,medium,0
6.8237,7.0,medium,1
5.9634,6.0,medium,2
5.3852,6.0,medium,3
3.6056,3.0,medium,4
3.6056,3.0,medium,5
3.25,3.0,medium,6
6.5,7.0,medium,7
5.3852,6.0,medium,8
5.831,6.0,medium,9
4.4721,5.0,medium,10
6.8237,10.0,medium,11
5.9634,7.0,medium,12
5.3852,7.0,medium,13
3.6056,5.0,medium,14
3.6056,5.0,medium,15
3.25,5.0,medium,16
6.5,10.0,medium,17
5.3852,7.0,medium,18
5.831,7.0,medium,19
4.4721,3.0,medium,20
6.8237,7.0,medium,21
5.9634,6.0,medium,22
5.3852,6.0,medium,23
3.6056,3.0,medium,24
3.6056,5.0,medium,25
3.25,5.0,medium,26
6.5,7.0,medium,27
5.3852,6.0,medium,28
5.831,6.0,medium,29
4.4721,4.0,medium,30
6.8237,8.0,medium,31
5.9634,7.0,medium,32
5.3852,7.0,medium,33
3.6056,3.0,medium,34
3.6056,3.0,medium,35
3.25,3.0,medium,36
6.5,8.0,medium,37
5.3852,7.0,medium,38
5.831,6.0,medium,39
4.4721,5.0,medium,40
6.8237,7.0,medium,41
5.9634,6.0,medium,42
5.3852,6.0,medium,43
3.6056,3.0,medium,44
3.6056,3.0,medium,45
3.25,3.0,medium,46
6.5,7.0,medium,47
5.3852,6.0,medium,48
5.831,6.0,medium,49
6.5,8.5,long,0
8.8353,14.75,long,1
7.9412,10.75,long,2
7.433,7.5,long,3
5.6569,5.0,long,4
5.6569,5.0,long,5
5.2202,6.5,long,6
8.4595,12.0,long,7
7.433,7.5,long,8
7.8262,10.5,long,9
6.5,8.5,long,10
8.8353,14.75,long,11
7.9412,10.75,long,12
7.433,10.5,long,13
5.6569,5.0,long,14
5.6569,5.0,long,15
5.2202,6.5,long,16
8.4595,13.0,long,17
7.433,10.5,long,18
7.8262,10.5,long,19
6.5,8.5,long,20
8.8353,14.75,long,21
7.9412,10.75,long,22
7.433,10.5,long,23
5.6569,5.0,long,24
5.6569,5.0,long,25
5.2202,6.5,long,26
8.4595,13.0,long,27
7.433,10.5,long,28
7.8262,10.5,long,29
6.5,8.5,long,30
8.8353,14.0,long,31
7.9412,10.0,long,32
7.433,7.5,long,33
5.6569,5.0,long,34
5.6569,5.0,long,35
5.2202,6.5,long,36
8.4595,12.0,long,37
7.433,7.5,long,38
7.8262,10.0,long,39
6.5,9.5,long,40
8.8353,14.75,long,41
7.9412,11.5,long,42
7.433,10.5,long,43
5.6569,7.0,long,44
5.6569,5.0,long,45
5.2202,7.5,long,46
8.4595,12.0,long,47
7.433,10.5,long,48
7.8262,11.5,long,49
