correct,response,range_category,trial,stimulus_id
0.24982,0.35,short,0,0
0.48029,0.38,short,1,1
0.3928,0.28,short,2,2
0.33946,0.32,short,3,3
0.16241,0.24,short,4,4
0.1624,0.21,short,5,5
0.12323,0.16,short,6,6
0.44647,0.39,short,7,7
0.34045,0.33,short,8,8
0.38323,0.31,short,9,9
0.24982,0.43,short,10,0
0.48029,0.35,short,11,1
0.3928,0.31,short,12,2
0.33946,0.38,short,13,3
0.16241,0.25,short,14,4
0.1624,0.24,short,15,5
0.12323,0.17,short,16,6
0.44647,0.39,short,17,7
0.34045,0.34,short,18,8
0.38323,0.37,short,19,9
0.24982,0.35,short,20,0
0.48029,0.4,short,21,1
0.3928,0.32,short,22,2
0.33946,0.38,short,23,3
0.16241,0.25,short,24,4
0.1624,0.2,short,25,5
0.12323,0.16,short,26,6
0.44647,0.43,short,27,7
0.34045,0.34,short,28,8
0.38323,0.39,short,29,9
0.24982,0.37,short,30,0
0.48029,0.33,short,31,1
0.3928,0.28,short,32,2
0.33946,0.4,short,33,3
0.16241,0.25,short,34,4
0.1624,0.21,short,35,5
0.12323,0.16,short,36,6
0.44647,0.38,short,37,7
0.34045,0.34,short,38,8
0.38323,0.39,short,39,9
0.24982,0.38,short,40,0
0.48029,0.35,short,41,1
0.3928,0.29,short,42,2
0.33946,0.39,short,43,3
0.16241,0.25,short,44,4
0.1624,0.21,short,45,5
0.12323,0.16,short,46,6
0.44647,0.33,short,47,7
0.34045,0.31,short,48,8
0.38323,0.36,short,49,9
0.48727,0.63,medium,0,0
0.77536,0.7,medium,1,1
0.666,0.56,medium,2,2
0.59933,0.38,medium,3,3
0.37801,0.34,medium,4,4
0.378,0.26,medium,5,5
0.32904,0.23,medium,6,6
0.73309,0.53,medium,7,7
0.60056,0.47,medium,8,8
0.65404,0.43,medium,9,9
0.48727,0.62,medium,10,0
0.77536,0.7,medium,11,1
0.666,0.55,medium,12,2
0.59933,0.43,medium,13,3
0.37801,0.38,medium,14,4
0.378,0.27,medium,15,5
0.32904,0.24,medium,16,6
0.73309,0.56,medium,17,7
0.60056,0.47,medium,18,8
0.65404,0.44,medium,19,9
0.48727,0.63,medium,20,0
0.77536,0.7,medium,21,1
0.666,0.55,medium,22,2
0.59933,0.43,medium,23,3
0.37801,0.38,medium,24,4
0.378,0.29,medium,25,5
0.32904,0.23,medium,26,6
0.73309,0.53,medium,27,7
0.60056,0.47,medium,28,8
0.65404,0.44,medium,29,9
0.48727,0.63,medium,30,0
0.77536,0.7,medium,31,1
0.666,0.57,medium,32,2
0.59933,0.43,medium,33,3
0.37801,0.39,medium,34,4
0.378,0.29,medium,35,5
0.32904,0.25,medium,36,6
0.73309,0.51,medium,37,7
0.60056,0.53,medium,38,8
0.65404,0.46,medium,39,9
0.48727,0.63,medium,40,0
0.77536,0.7,medium,41,1
0.666,0.55,medium,42,2
0.59933,0.43,medium,43,3
0.37801,0.38,medium,44,4
0.378,0.27,medium,45,5
0.32904,0.24,medium,46,6
0.73309,0.56,medium,47,7
0.60056,0.5,medium,48,8
0.65404,0.46,medium,49,9
0.64982,0.63,long,0,0
0.88029,0.73,long,1,1
0.7928,0.57,long,2,2
0.73946,0.5,long,3,3
0.56241,0.38,long,4,4
0.5624,0.31,long,5,5
0.52323,0.39,long,6,6
0.84647,0.7,long,7,7
0.74045,0.64,long,8,8
0.78323,0.62,long,9,9
0.64982,0.6,long,10,0
0.88029,0.7,long,11,1
0.7928,0.55,long,12,2
0.73946,0.5,long,13,3
0.56241,0.4,long,14,4
0.5624,0.35,long,15,5
0.52323,0.4,long,16,6
0.84647,0.7,long,17,7
0.74045,0.65,long,18,8
0.78323,0.65,long,19,9
0.64982,0.63,long,20,0
0.88029,0.73,long,21,1
0.7928,0.57,long,22,2
0.73946,0.5,long,23,3
0.56241,0.36,long,24,4
0.5624,0.29,long,25,5
0.52323,0.39,long,26,6
0.84647,0.7,long,27,7
0.74045,0.62,long,28,8
0.78323,0.67,long,29,9
0.64982,0.62,long,30,0
0.88029,0.73,long,31,1
0.7928,0.55,long,32,2
0.73946,0.5,long,33,3
0.56241,0.37,long,34,4
0.5624,0.31,long,35,5
0.52323,0.4,long,36,6
0.84647,0.7,long,37,7
0.74045,0.63,long,38,8
0.78323,0.63,long,39,9
0.64982,0.63,long,40,0
0.88029,0.73,long,41,1
0.7928,0.55,long,42,2
0.73946,0.5,long,43,3
0.56241,0.36,long,44,4
0.5624,0.31,long,45,5
0.52323,0.39,long,46,6
0.84647,0.67,long,47,7
0.74045,0.61,long,48,8
0.78323,0.59,long,49,9
