correct,response,range_category,trial
0.25,0.21,short,0
0.48,0.41,short,1
0.39,0.33,short,2
0.34,0.29,short,3
0.16,0.2,short,4
0.16,0.22,short,5
0.12,0.15,short,6
0.45,0.37,short,7
0.34,0.31,short,8
0.38,0.18,short,9
0.25,0.21,short,10
0.48,0.32,short,11
0.39,0.23,short,12
0.34,0.18,short,13
0.16,0.13,short,14
0.16,0.11,short,15
0.12,0.1,short,16
0.45,0.28,short,17
0.34,0.23,short,18
0.38,0.21,short,19
0.25,0.15,short,20
0.48,0.35,short,21
0.39,0.25,short,22
0.34,0.2,short,23
0.16,0.15,short,24
0.16,0.2,short,25
0.12,0.15,short,26
0.45,0.3,short,27
0.34,0.25,short,28
0.38,0.15,short,29
0.25,0.255,short,30
0.48,0.33,short,31
0.39,0.29,short,32
0.34,0.2,short,33
0.16,0.15,short,34
0.16,0.185,short,35
0.12,0.14,short,36
0.45,0.32,short,37
0.34,0.265,short,38
0.38,0.255,short,39
0.25,0.2,short,40
0.48,0.4,short,41
0.39,0.3,short,42
0.34,0.35,short,43
0.16,0.2,short,44
0.16,0.25,short,45
0.12,0.15,short,46
0.45,0.4,short,47
0.34,0.35,short,48
0.38,0.2,short,49
0.49,0.48,medium,0
0.78,0.85,medium,1
0.67,0.4,medium,2
0.6,0.47,medium,3
0.38,0.21,medium,4
0.38,0.29,medium,5
0.33,0.31,medium,6
0.73,0.76,medium,7
0.6,0.56,medium,8
0.65,0.48,medium,9
0.49,0.52,medium,10
0.78,0.85,medium,11
0.67,0.48,medium,12
0.6,0.43,medium,13
0.38,0.23,medium,14
0.38,0.29,medium,15
0.33,0.28,medium,16
0.73,0.78,medium,17
0.6,0.58,medium,18
0.65,0.52,medium,19
0.49,0.5,medium,20
0.78,0.8,medium,21
0.67,0.5,medium,22
0.6,0.5,medium,23
0.38,0.2,medium,24
0.38,0.3,medium,25
0.33,0.25,medium,26
0.73,0.8,medium,27
0.6,0.5,medium,28
0.65,0.5,medium,29
0.49,0.45,medium,30
0.78,0.75,medium,31
0.67,0.35,medium,32
0.6,0.4,medium,33
0.38,0.2,medium,34
0.38,0.15,medium,35
0.33,0.25,medium,36
0.73,0.75,medium,37
0.6,0.55,medium,38
0.65,0.45,medium,39
0.49,0.37,medium,40
0.78,0.82,medium,41
0.67,0.42,medium,42
0.6,0.49,medium,43
0.38,0.23,medium,44
0.38,0.3,medium,45
0.33,0.28,medium,46
0.73,0.73,medium,47
0.6,0.53,medium,48
0.65,0.37,medium,49
0.65,0.58,long,0
0.88,0.92,long,1
0.79,0.69,long,2
0.74,0.55,long,3
0.56,0.41,long,4
0.56,0.45,long,5
0.52,0.47,long,6
0.85,0.86,long,7
0.74,0.68,long,8
0.78,0.58,long,9
0.65,0.65,long,10
0.88,0.85,long,11
0.79,0.75,long,12
0.74,0.65,long,13
0.56,0.55,long,14
0.56,0.5,long,15
0.52,0.45,long,16
0.85,0.9,long,17
0.74,0.8,long,18
0.78,0.65,long,19
0.65,0.6,long,20
0.88,0.8,long,21
0.79,0.7,long,22
0.74,0.5,long,23
0.56,0.4,long,24
0.56,0.3,long,25
0.52,0.4,long,26
0.85,0.8,long,27
0.74,0.7,long,28
0.78,0.6,long,29
0.65,0.6,long,30
0.88,0.9,long,31
0.79,0.7,long,32
0.74,0.5,long,33
0.56,0.4,long,34
0.56,0.4,long,35
0.52,0.4,long,36
0.85,0.8,long,37
0.74,0.6,long,38
0.78,0.6,long,39
0.65,0.58,long,40
0.88,0.88,long,41
0.79,0.65,long,42
0.74,0.55,long,43
0.56,0.38,long,44
0.56,0.45,long,45
0.52,0.52,long,46
0.85,0.84,long,47
0.74,0.7,long,48
0.78,0.58,long,49
