correct,response,range_category,trial,stimulus_id
2.5,0.0,short,0,0
4.8023,5.0,short,1,1
3.9051,3.6,short,2,2
3.4004,3.6,short,3,3
1.6008,1.4,short,4,4
1.25,1.4,short,5,5
4.4721,5.0,short,6,6
1.118,1.0,short,7,7
4.8541,5.0,short,8,8
4.3661,4.5,short,9,9
2.5,3.16,short,10,0
4.8023,5.39,short,11,1
3.9051,3.61,short,12,2
3.4004,3.61,short,13,3
1.6008,1.41,short,14,4
1.25,1.41,short,15,5
4.4721,4.47,short,16,6
1.118,1.0,short,17,7
4.8541,5.39,short,18,8
4.3661,4.47,short,19,9
2.5,3.2,short,20,0
4.8023,5.8,short,21,1
3.9051,4.5,short,22,2
3.4004,3.6,short,23,3
1.6008,1.4,short,24,4
1.25,1.4,short,25,5
4.4721,5.1,short,26,6
1.118,1.4,short,27,7
4.8541,5.4,short,28,8
4.3661,4.5,short,29,9
2.5,3.61,short,30,0
4.8023,5.39,short,31,1
3.9051,4.47,short,32,2
3.4004,4.47,short,33,3
1.6008,1.41,short,34,4
1.25,1.0,short,35,5
4.4721,4.12,short,36,6
1.118,1.41,short,37,7
4.8541,5.0,short,38,8
4.3661,4.24,short,39,9
2.5,2.83,short,40,0
4.8023,5.83,short,41,1
3.9051,4.47,short,42,2
3.4004,3.61,short,43,3
1.6008,1.41,short,44,4
1.25,1.41,short,45,5
4.4721,4.24,short,46,6
1.118,1.0,short,47,7
4.8541,5.0,short,48,8
4.3661,4.47,short,49,9
4.4721,5.1,medium,0,0
6.8237,7.3,medium,1,1
5.9634,5.4,medium,2,2
5.3852,4.7,medium,3,3
3.6056,3.6,medium,4,4
3.25,3.2,medium,5,5
6.5,6.4,medium,6,6
5.831,5.4,medium,7,7
3.0923,3.2,medium,8,8
6.8966,6.7,medium,9,9
4.4721,5.39,medium,10,0
6.8237,6.4,medium,11,1
5.9634,5.39,medium,12,2
5.3852,4.47,medium,13,3
3.6056,3.61,medium,14,4
3.25,3.16,medium,15,5
6.5,5.83,medium,16,6
5.831,5.1,medium,17,7
3.0923,3.61,medium,18,8
6.8966,6.4,medium,19,9
4.4721,6.4,medium,20,0
6.8237,7.8,medium,21,1
5.9634,5.8,medium,22,2
5.3852,5.1,medium,23,3
3.6056,3.6,medium,24,4
3.25,3.2,medium,25,5
6.5,6.7,medium,26,6
5.831,5.4,medium,27,7
3.0923,4.5,medium,28,8
6.8966,6.7,medium,29,9
4.4721,5.39,medium,30,0
6.8237,6.71,medium,31,1
5.9634,5.0,medium,32,2
5.3852,5.1,medium,33,3
3.6056,3.61,medium,34,4
3.25,3.16,medium,35,5
6.5,6.08,medium,36,6
5.831,5.39,medium,37,7
3.0923,4.12,medium,38,8
6.8966,6.4,medium,39,9
4.4721,5.39,medium,40,0
6.8237,6.4,medium,41,1
5.9634,5.39,medium,42,2
5.3852,5.0,medium,43,3
3.6056,3.61,medium,44,4
3.25,3.16,medium,45,5
6.5,6.08,medium,46,6
5.831,5.1,medium,47,7
3.0923,3.61,medium,48,8
6.8966,6.4,medium,49,9
6.5,6.4031,long,0,0
8.8459,8.6023,long,1,1
7.9412,7.8102,long,2,2
7.433,6.4031,long,3,3
5.6569,5.3852,long,4,4
5.2202,5.099,long,5,5
8.4595,8.6023,long,6,6
7.8262,7.8102,long,7,7
5.099,5.099,long,8,8
8.9022,8.6023,long,9,9
6.5,7.28,long,10,0
8.8459,8.6,long,11,1
7.9412,8.25,long,12,2
7.433,6.4,long,13,3
5.6569,5.83,long,14,4
5.2202,5.39,long,15,5
8.4595,8.79,long,16,6
7.8262,8.25,long,17,7
5.099,5.39,long,18,8
8.9022,8.79,long,19,9
6.5,6.4,long,20,0
8.8459,8.6,long,21,1
7.9412,7.8,long,22,2
7.433,6.4,long,23,3
5.6569,5.4,long,24,4
5.2202,5.1,long,25,5
8.4595,9.2,long,26,6
7.8262,7.8,long,27,7
5.099,4.7,long,28,8
8.9022,9.2,long,29,9
6.5,0.0,long,30,0
8.8459,6.7,long,31,1
7.9412,8.6,long,32,2
7.433,6.4,long,33,3
5.6569,5.4,long,34,4
5.2202,5.1,long,35,5
8.4595,8.6,long,36,6
7.8262,7.8,long,37,7
5.099,4.7,long,38,8
8.9022,8.8,long,39,9
6.5,0.0,long,40,0
8.8459,6.7,long,41,1
7.9412,8.1,long,42,2
7.433,6.4,long,43,3
5.6569,5.4,long,44,4
5.2202,5.0,long,45,5
8.4595,8.6,long,46,6
7.8262,8.5,long,47,7
5.099,5.4,long,48,8
8.9022,8.6,long,49,9
