correct,response,input_value,range_category,trial,stimulus_id
3.47,4.0,3.47,short,0,0
7.26,12.0,7.26,short,1,1
5.89,11.0,5.89,short,2,2
4.95,4.0,4.95,short,3,3
1.98,4.0,1.98,short,4,4
1.89,5.0,1.89,short,5,5
1.27,3.0,1.27,short,6,6
7.01,13.0,7.01,short,7,7
4.83,8.0,4.83,short,8,8
5.52,16.0,5.52,short,9,9
1.06,3.0,1.06,short,10,10
7.52,14.0,7.52,short,11,11
6.18,11.0,6.18,short,12,12
2.28,5.0,2.28,short,13,13
2.08,5.0,2.08,short,14,14
2.18,7.0,2.18,short,15,15
3.0,8.0,3.0,short,16,16
4.58,20.0,4.58,short,17,17
3.96,6.0,3.96,short,18,18
2.96,7.0,2.96,short,19,19
3.47,4.0,3.47,short,20,0
7.26,13.0,7.26,short,21,1
5.89,12.0,5.89,short,22,2
4.95,5.0,4.95,short,23,3
1.98,4.0,1.98,short,24,4
1.89,5.0,1.89,short,25,5
1.27,3.0,1.27,short,26,6
7.01,12.0,7.01,short,27,7
4.83,8.0,4.83,short,28,8
5.52,16.0,5.52,short,29,9
1.06,3.0,1.06,short,30,10
7.52,14.0,7.52,short,31,11
6.18,11.0,6.18,short,32,12
2.28,5.0,2.28,short,33,13
2.08,5.0,2.08,short,34,14
2.18,6.0,2.18,short,35,15
3.0,9.0,3.0,short,36,16
4.58,19.0,4.58,short,37,17
3.96,6.0,3.96,short,38,18
2.96,7.0,2.96,short,39,19
3.47,6.0,3.47,short,40,0
7.26,17.0,7.26,short,41,1
5.89,15.0,5.89,short,42,2
4.95,5.0,4.95,short,43,3
1.98,4.0,1.98,short,44,4
1.89,5.0,1.89,short,45,5
1.27,4.0,1.27,short,46,6
7.01,14.0,7.01,short,47,7
4.83,9.0,4.83,short,48,8
5.52,21.0,5.52,short,49,9
1.06,3.0,1.06,short,50,10
7.52,18.0,7.52,short,51,11
6.18,12.0,6.18,short,52,12
2.28,5.0,2.28,short,53,13
2.08,5.0,2.08,short,54,14
2.18,7.0,2.18,short,55,15
3.0,10.0,3.0,short,56,16
4.58,23.0,4.58,short,57,17
3.96,6.0,3.96,short,58,18
2.96,7.0,2.96,short,59,19
3.47,4.0,3.47,short,60,0
