correct,response,range_category,trial,stimulus_id
0.24982,0.22,short,0,0
0.48029,0.5,short,1,1
0.3928,0.36,short,2,2
0.33946,0.3,short,3,3
0.16241,0.15,short,4,4
0.1624,0.17,short,5,5
0.12323,0.12,short,6,6
0.44647,0.5,short,7,7
0.34045,0.5,short,8,8
0.38323,0.33,short,9,9
0.24982,0.25,short,10,0
0.48029,0.7,short,11,1
0.3928,0.5,short,12,2
0.33946,0.3,short,13,3
0.16241,0.2,short,14,4
0.1624,0.15,short,15,5
0.12323,0.1,short,16,6
0.44647,0.5,short,17,7
0.34045,0.5,short,18,8
0.38323,0.3,short,19,9
0.24982,0.18,short,20,0
0.48029,0.51,short,21,1
0.3928,0.38,short,22,2
0.33946,0.29,short,23,3
0.16241,0.12,short,24,4
0.1624,0.15,short,25,5
0.12323,0.09,short,26,6
0.44647,0.51,short,27,7
0.34045,0.5,short,28,8
0.38323,0.35,short,29,9
0.24982,0.18,short,30,0
0.48029,0.52,short,31,1
0.3928,0.48,short,32,2
0.33946,0.32,short,33,3
0.16241,0.15,short,34,4
0.1624,0.12,short,35,5
0.12323,0.08,short,36,6
0.44647,0.5,short,37,7
0.34045,0.5,short,38,8
0.38323,0.5,short,39,9
0.24982,0.22,short,40,0
0.48029,0.5,short,41,1
0.3928,0.5,short,42,2
0.33946,0.2,short,43,3
0.16241,0.15,short,44,4
0.1624,0.15,short,45,5
0.12323,0.1,short,46,6
0.44647,0.5,short,47,7
0.34045,0.5,short,48,8
0.38323,0.33,short,49,9
0.48727,0.5,medium,0,0
0.77536,0.75,medium,1,1
0.666,0.65,medium,2,2
0.59933,0.7,medium,3,3
0.37801,0.35,medium,4,4
0.378,0.4,medium,5,5
0.32904,0.3,medium,6,6
0.73309,0.5,medium,7,7
0.60056,0.5,medium,8,8
0.65404,0.5,medium,9,9
0.48727,0.5,medium,10,0
0.77536,0.75,medium,11,1
0.666,0.67,medium,12,2
0.59933,0.8,medium,13,3
0.37801,0.33,medium,14,4
0.378,0.4,medium,15,5
0.32904,0.25,medium,16,6
0.73309,0.5,medium,17,7
0.60056,0.5,medium,18,8
0.65404,0.5,medium,19,9
0.48727,0.5,medium,20,0
0.77536,0.83,medium,21,1
0.666,0.65,medium,22,2
0.59933,0.75,medium,23,3
0.37801,0.35,medium,24,4
0.378,0.4,medium,25,5
0.32904,0.7,medium,26,6
0.73309,0.5,medium,27,7
0.60056,0.5,medium,28,8
0.65404,0.5,medium,29,9
0.48727,0.51,medium,30,0
0.77536,0.77,medium,31,1
0.666,0.65,medium,32,2
0.59933,0.72,medium,33,3
0.37801,0.34,medium,34,4
0.378,0.43,medium,35,5
0.32904,0.31,medium,36,6
0.73309,0.5,medium,37,7
0.60056,0.5,medium,38,8
0.65404,0.5,medium,39,9
0.48727,0.5,medium,40,0
0.77536,0.75,medium,41,1
0.666,0.67,medium,42,2
0.59933,0.8,medium,43,3
0.37801,0.33,medium,44,4
0.378,0.4,medium,45,5
0.32904,0.25,medium,46,6
0.73309,0.6,medium,47,7
0.60056,0.6,medium,48,8
0.65404,0.6,medium,49,9
0.64982,0.55,long,0,0
0.88029,0.95,long,1,1
0.7928,0.82,long,2,2
0.73946,0.85,long,3,3
0.56241,0.75,long,4,4
0.5624,0.65,long,5,5
0.52323,0.8,long,6,6
0.84647,0.7,long,7,7
0.74045,0.5,long,8,8
0.78323,0.5,long,9,9
0.64982,0.52,long,10,0
0.88029,0.85,long,11,1
0.7928,0.82,long,12,2
0.73946,0.8,long,13,3
0.56241,0.62,long,14,4
0.5624,0.62,long,15,5
0.52323,0.78,long,16,6
0.84647,0.7,long,17,7
0.74045,0.5,long,18,8
0.78323,0.55,long,19,9
0.64982,0.55,long,20,0
0.88029,0.85,long,21,1
0.7928,0.83,long,22,2
0.73946,0.75,long,23,3
0.56241,0.68,long,24,4
0.5624,0.65,long,25,5
0.52323,0.78,long,26,6
0.84647,0.72,long,27,7
0.74045,0.5,long,28,8
0.78323,0.6,long,29,9
0.64982,0.54,long,30,0
0.88029,0.91,long,31,1
0.7928,0.83,long,32,2
0.73946,0.78,long,33,3
0.56241,0.64,long,34,4
0.5624,0.65,long,35,5
0.52323,0.71,long,36,6
0.84647,0.67,long,37,7
0.74045,0.62,long,38,8
0.78323,0.69,long,39,9
0.64982,0.55,long,40,0
0.88029,0.9,long,41,1
0.7928,0.8,long,42,2
0.73946,0.82,long,43,3
0.56241,0.7,long,44,4
0.5624,0.65,long,45,5
0.52323,0.75,long,46,6
0.84647,0.65,long,47,7
0.74045,0.6,long,48,8
0.78323,0.7,long,49,9
