correct,response,range_category,trial
0.25,0.27,short,0
0.48,0.375,short,1
0.39,0.27,short,2
0.34,0.31,short,3
0.16,0.07,short,4
0.25,0.27,short,5
0.48,0.5,short,6
0.39,0.2,short,7
0.34,0.3,short,8
0.16,0.1,short,9
0.25,0.35,short,10
0.48,0.5,short,11
0.39,0.35,short,12
0.34,0.3,short,13
0.16,0.1,short,14
0.25,0.25,short,15
0.48,0.5,short,16
0.39,0.35,short,17
0.34,0.37,short,18
0.16,0.08,short,19
0.25,0.24,short,20
0.48,0.45,short,21
0.39,0.32,short,22
0.34,0.37,short,23
0.16,0.15,short,24
0.25,0.18,short,25
0.48,0.35,short,26
0.39,0.21,short,27
0.34,0.25,short,28
0.16,0.15,short,29
0.25,0.3,short,30
0.48,0.4,short,31
0.39,0.25,short,32
0.34,0.35,short,33
0.16,0.1,short,34
0.25,0.3,short,35
0.48,429.0,short,36
0.39,429.0,short,37
0.34,429.0,short,38
0.16,429.0,short,39
0.25,429.0,short,40
0.48,429.0,short,41
0.39,0.37,short,42
0.34,0.29,short,43
0.16,0.1,short,44
0.25,0.32,short,45
0.48,0.51,short,46
0.39,0.37,short,47
0.34,0.37,short,48
0.16,0.07,short,49
0.49,0.55,medium,0
0.78,0.4,medium,1
0.67,0.4,medium,2
0.6,0.4,medium,3
0.38,0.25,medium,4
0.49,0.55,medium,5
0.78,0.71,medium,6
0.67,0.48,medium,7
0.6,0.46,medium,8
0.38,0.29,medium,9
0.49,0.47,medium,10
0.78,0.71,medium,11
0.67,429.0,medium,12
0.6,429.0,medium,13
0.38,429.0,medium,14
0.49,429.0,medium,15
0.78,429.0,medium,16
0.67,0.65,medium,17
0.6,0.6,medium,18
0.38,0.2,medium,19
0.49,0.4,medium,20
0.78,0.7,medium,21
0.67,0.5,medium,22
0.6,0.6,medium,23
0.38,0.3,medium,24
0.49,0.35,medium,25
0.78,0.6,medium,26
0.67,0.5,medium,27
0.6,0.4,medium,28
0.38,0.3,medium,29
0.49,0.58,medium,30
0.78,0.53,medium,31
0.67,0.42,medium,32
0.6,0.41,medium,33
0.38,0.18,medium,34
0.49,0.58,medium,35
0.78,0.75,medium,36
0.67,429.0,medium,37
0.6,429.0,medium,38
0.38,429.0,medium,39
0.49,0.5,medium,40
0.78,0.75,medium,41
0.67,0.75,medium,42
0.6,0.5,medium,43
0.38,0.25,medium,44
0.49,0.4,medium,45
0.78,0.65,medium,46
0.67,0.75,medium,47
0.6,0.64,medium,48
0.38,0.28,medium,49
0.65,0.65,long,0
0.88,0.82,long,1
0.79,0.68,long,2
0.74,0.74,long,3
0.56,0.49,long,4
0.65,0.65,long,5
0.88,0.7,long,6
0.79,0.7,long,7
0.74,0.65,long,8
0.56,0.4,long,9
0.65,429.0,long,10
0.88,0.7,long,11
0.79,0.636,long,12
0.74,0.583,long,13
0.56,0.45,long,14
0.65,0.464,long,15
0.88,0.727,long,16
0.79,0.636,long,17
0.74,0.55,long,18
0.56,0.37,long,19
0.65,0.51,long,20
0.88,0.74,long,21
0.79,0.63,long,22
0.74,0.55,long,23
0.56,0.65,long,24
0.65,0.46,long,25
0.88,0.79,long,26
0.79,0.69,long,27
0.74,0.61,long,28
0.56,0.65,long,29
0.65,429.0,long,30
0.88,429.0,long,31
0.79,0.7,long,32
0.74,0.75,long,33
0.56,0.4,long,34
0.65,0.65,long,35
0.88,0.8,long,36
0.79,0.65,long,37
0.74,0.65,long,38
0.56,0.47,long,39
0.65,0.6,long,40
0.88,0.8,long,41
0.79,0.62,long,42
0.74,0.64,long,43
0.56,0.45,long,44
0.65,0.55,long,45
0.88,0.75,long,46
0.79,0.62,long,47
0.74,0.57,long,48
0.56,0.42,long,49
