correct,response,range_category,trial,stimulus_id
0.24982,0.38,short,0,0
0.48029,0.55,short,1,1
0.3928,0.35,short,2,2
0.33946,0.42,short,3,3
0.16241,0.2,short,4,4
0.1624,0.18,short,5,5
0.12323,0.15,short,6,6
0.44647,0.5,short,7,7
0.34045,0.38,short,8,8
0.38323,0.4,short,9,9
0.24982,0.35,short,10,0
0.48029,0.53,short,11,1
0.3928,0.37,short,12,2
0.33946,0.4,short,13,3
0.16241,0.2,short,14,4
0.1624,0.2,short,15,5
0.12323,0.13,short,16,6
0.44647,0.5,short,17,7
0.34045,0.38,short,18,8
0.38323,0.42,short,19,9
0.24982,0.41,short,20,0
0.48029,0.53,short,21,1
0.3928,0.35,short,22,2
0.33946,0.41,short,23,3
0.16241,0.22,short,24,4
0.1624,0.19,short,25,5
0.12323,0.15,short,26,6
0.44647,0.52,short,27,7
0.34045,0.38,short,28,8
0.38323,0.41,short,29,9
0.24982,0.39,short,30,0
0.48029,0.54,short,31,1
0.3928,0.39,short,32,2
0.33946,0.4,short,33,3
0.16241,0.19,short,34,4
0.1624,0.18,short,35,5
0.12323,0.13,short,36,6
0.44647,0.49,short,37,7
0.34045,0.36,short,38,8
0.38323,0.39,short,39,9
0.24982,0.37,short,40,0
0.48029,0.52,short,41,1
0.3928,0.37,short,42,2
0.33946,0.45,short,43,3
0.16241,0.22,short,44,4
0.1624,0.18,short,45,5
0.12323,0.13,short,46,6
0.44647,0.54,short,47,7
0.34045,0.38,short,48,8
0.38323,0.45,short,49,9
0.48727,0.61,medium,0,0
0.77536,0.78,medium,1,1
0.666,0.65,medium,2,2
0.59933,0.58,medium,3,3
0.37801,0.42,medium,4,4
0.378,0.32,medium,5,5
0.32904,0.34,medium,6,6
0.73309,0.74,medium,7,7
0.60056,0.56,medium,8,8
0.65404,0.67,medium,9,9
0.48727,0.6,medium,10,0
0.77536,0.8,medium,11,1
0.666,0.65,medium,12,2
0.59933,0.55,medium,13,3
0.37801,0.4,medium,14,4
0.378,0.3,medium,15,5
0.32904,0.3,medium,16,6
0.73309,0.75,medium,17,7
0.60056,0.55,medium,18,8
0.65404,0.65,medium,19,9
0.48727,0.63,medium,20,0
0.77536,0.79,medium,21,1
0.666,0.68,medium,22,2
0.59933,0.59,medium,23,3
0.37801,0.42,medium,24,4
0.378,0.31,medium,25,5
0.32904,0.34,medium,26,6
0.73309,0.76,medium,27,7
0.60056,0.59,medium,28,8
0.65404,0.69,medium,29,9
0.48727,0.63,medium,30,0
0.77536,0.82,medium,31,1
0.666,0.68,medium,32,2
0.59933,0.62,medium,33,3
0.37801,0.44,medium,34,4
0.378,0.32,medium,35,5
0.32904,0.37,medium,36,6
0.73309,0.76,medium,37,7
0.60056,0.58,medium,38,8
0.65404,0.69,medium,39,9
0.48727,0.58,medium,40,0
0.77536,0.78,medium,41,1
0.666,0.65,medium,42,2
0.59933,0.58,medium,43,3
0.37801,0.42,medium,44,4
0.378,0.32,medium,45,5
0.32904,0.35,medium,46,6
0.73309,0.75,medium,47,7
0.60056,0.58,medium,48,8
0.65404,0.66,medium,49,9
0.64982,0.73,long,0,0
0.88029,0.83,long,1,1
0.7928,0.77,long,2,2
0.73946,0.72,long,3,3
0.56241,0.56,long,4,4
0.5624,0.49,long,5,5
0.52323,0.53,long,6,6
0.84647,0.85,long,7,7
0.74045,0.73,long,8,8
0.78323,0.75,long,9,9
0.64982,0.65,long,10,0
0.88029,0.83,long,11,1
0.7928,0.75,long,12,2
0.73946,0.71,long,13,3
0.56241,0.55,long,14,4
0.5624,0.49,long,15,5
0.52323,0.5,long,16,6
0.84647,0.85,long,17,7
0.74045,0.72,long,18,8
0.78323,0.75,long,19,9
0.64982,0.72,long,20,0
0.88029,0.83,long,21,1
0.7928,0.73,long,22,2
0.73946,0.67,long,23,3
0.56241,0.52,long,24,4
0.5624,0.45,long,25,5
0.52323,0.48,long,26,6
0.84647,0.82,long,27,7
0.74045,0.69,long,28,8
0.78323,0.73,long,29,9
0.64982,0.71,long,30,0
0.88029,0.85,long,31,1
0.7928,0.73,long,32,2
0.73946,0.68,long,33,3
0.56241,0.49,long,34,4
0.5624,0.45,long,35,5
0.52323,0.48,long,36,6
0.84647,0.82,long,37,7
0.74045,0.68,long,38,8
0.78323,0.72,long,39,9
0.64982,0.71,long,40,0
0.88029,0.85,long,41,1
0.7928,0.77,long,42,2
0.73946,0.71,long,43,3
0.56241,0.56,long,44,4
0.5624,0.48,long,45,5
0.52323,0.51,long,46,6
0.84647,0.85,long,47,7
0.74045,0.72,long,48,8
0.78323,0.75,long,49,9
